VUIDNO,PCTCOD,PCTSPT,EDRDAT,DOB,GENDER,LSTNAM,FSTNAM,MIDNAM,BLKNUM,STRPRE,STRNAM,STRTYP,UNITYP,UNITNO,RSCITY,RZIPCD,SUSIND,G22VOTED,G24VOTED,P26VOTED
1090135742,109,B,20211103,19681020,F,Bailey,Isabella,A,7071,,Guadalupe,TRL,UNIT,387,Austin,78758,,,Y,
1058759759,109,B,20120523,19450425,M,Coleman,David,E,9090,S,Brodie,RD,,,Cedar Park,78613,S,Y,,Y
1050419239,109,A,20101018,19430208,M,Cooper,Jose,,9011,,Maple,PL,APT,93,Del Valle,78617,,,,
1052303082,109,A,20250327,19860703,M,Gray,Aaron,Ann,3400,,Meadow,LN,,,Pflugerville,78660,,Y,,Y
1047632114,109,,20200407,19940326,M,King,Aaron,M,2300,N,Sycamore,LN,UNIT,124,Cedar Park,78613,S,,,Y
1082855808,109,C,20180913,20070215,M,Lewis,Aaron,R,9000,,Brodie,PL,,,Pflugerville,78660,,,Y,Y
1064164404,109,C,20200827,19601107,F,Peterson,Grace,J,5749,,Guadalupe,PL,,,Pflugerville,78660,,Y,Y,
1037025323,109,A,20081105,19820324,M,Ramos,Anthony,,7300,,Meadow,RD,,,Austin,78753,,Y,,Y
1092538352,109,,20250111,19350513,M,Sanchez,Miguel,Ann,1450,E,Far West,RD,STE,259,Del Valle,78617,,Y,,Y
1031900651,109,,20100509,19550117,M,Sanders,James,,3217,,Sycamore,CT,,,Cedar Park,78613,S,,,
1031279315,109,A,20210107,19820726,M,White,John,R,8000,,Magnolia,DR,,,Cedar Park,78613,,Y,,
1031611813,109,A,20210311,19620610,M,Wright,James,A,4602,S,Slaughter,AVE,,,Austin,78745,,,Y,
1033501243,110,C,20161225,19481203,M,Adams,Joshua,L,5427,,Balcones,PL,,,Pflugerville,78660,,,Y,
1006174933,110,B,20221004,20020606,F,Flores,Lisa,,4400,N,Sycamore,RD,,,Austin,78702,,,Y,
1018874683,110,,20201018,19730605,M,Gomez,Andrew,,6337,W,Far West,DR,APT,206,Leander,78641,,,Y,Y
1029238745,110,C,20110108,19870126,F,Kelly,Patricia,Ann,4100,S,Far West,AVE,,,Cedar Park,78613,,,,Y
1010443630,110,C,20150211,20000409,M,Martinez,James,R,4269,,Menchaca,DR,#,281,Cedar Park,78613,,,Y,Y
1078293445,111,A,20220826,20031221,M,Gonzalez,James,,1490,,Lakeview,BLVD,STE,293,Round Rock,78664,,,Y,
1070631323,111,A,20250513,19880602,F,Perez,Mary,Rose,7400,,Guadalupe,LN,,,Austin,78702,,Y,,
1030635010,112,A,20180304,19951227,M,Barnes,Charles,,2679,E,Guadalupe,CT,#,379,Pflugerville,78660,,Y,Y,Y
1022614374,112,,20121208,19950322,F,Cox,Rebecca,,4300,,Pecan,TRL,APT,335,Leander,78641,,,,
1080457218,112,,20150416,19690523,F,Garcia,Grace,J,8600,,Elm,BLVD,#,400,Round Rock,78664,,Y,Y,
1042518419,112,A,20251012,20021209,M,Henderson,Joseph,E,3500,N,Oak,ST,,,Pflugerville,78660,S,,,Y
1058904072,113,A,20230605,19720925,F,Patel,Melissa,M,5100,,Lamar,RD,,,Leander,78641,,Y,,Y
1060016064,113,B,20090925,19710118,M,Ramos,Paul,J,4500,,Creekside,PL,STE,211,Austin,78703,,Y,Y,Y
1004398127,113,A,20091215,19600717,M,Thomas,Jose,Lee,1900,N,Balcones,PL,STE,131,Round Rock,78681,,,,Y
1057305068,114,A,20190408,19440224,F,Brown,Angela,R,6100,S,Duval,CT,,,Pflugerville,78660,,Y,,Y
1029328741,114,,20080504,19930222,M,Johnson,Joshua,L,4200,W,Parmer,AVE,#,219,Austin,78741,,,,Y
1039882561,114,C,20220913,19730309,F,Richardson,Sofia,J,600,,Menchaca,DR,,,Austin,78758,,,,Y
1035467511,115,C,20220717,20000903,F,Bennett,Sarah,R,2800,E,Duval,CT,,,Leander,78641,,Y,,
1073448343,115,A,20090120,19621106,M,Cox,Steven,,3091,,Burnet,PL,APT,394,Del Valle,78617,S,,Y,
1062913984,115,A,20140327,19850818,F,Hill,Maria,L,221,,Lakeview,WAY,,,Del Valle,78617,,Y,Y,
1071085001,115,,20190211,19581118,M,Price,Daniel,Rose,9500,N,Anderson,ST,APT,255,Pflugerville,78660,,Y,Y,Y
1093819995,115,C,20081120,19840602,M,Richardson,Paul,Marie,6238,,Far West,LN,APT,365,Austin,78758,,Y,,Y
1021832325,116,A,20250715,19850515,F,Allen,Margaret,,9114,,Anderson,CIR,,,Pflugerville,78660,,,,Y
1038296868,116,A,20221227,19641023,F,Carter,Stephanie,Rose,2800,N,Guadalupe,CT,#,216,Leander,78641,,Y,Y,
1091356126,116,B,20200120,19560328,F,Ramos,Margaret,M,8200,W,Parmer,CT,,,Del Valle,78617,,,,
1088359061,116,C,20120702,19970805,F,Thompson,Rebecca,E,2937,N,Balcones,TRL,,,Round Rock,78681,,Y,Y,Y
1083996687,117,,20250206,19820926,F,Bennett,Jennifer,E,8982,,Oak,BLVD,#,140,Round Rock,78665,,,Y,Y
1074955396,117,,20250225,19960314,M,Brown,Luis,Rose,1600,N,Elm,WAY,APT,328,Round Rock,78681,,Y,Y,Y
1013401940,117,A,20080706,19900226,M,Flores,David,,1700,,Riverside,TRL,,,Pflugerville,78660,,Y,Y,Y
1050595945,117,C,20100119,19890204,F,Reyes,Amy,Marie,6112,W,Slaughter,ST,,,Del Valle,78617,,,,Y
1045748313,117,A,20240901,20010917,F,Robinson,Jennifer,Rose,1400,,Live Oak,BLVD,#,368,Cedar Park,78613,,Y,,Y
1072459922,117,A,20160319,19550923,M,Rodriguez,Joshua,M,7069,,Lakeview,TRL,,,Austin,78745,,Y,Y,
1069574079,117,B,20100112,19640709,M,Torres,Juan,M,700,,Magnolia,LN,STE,4,Cedar Park,78613,,,Y,Y
1013287188,119,B,20200616,19820904,F,Flores,Ashley,Marie,8817,,Riverside,WAY,,,Pflugerville,78660,,,Y,Y
1094767028,119,C,20200325,19550607,F,Henderson,Maria,M,7832,E,Escarpment,WAY,APT,231,Cedar Park,78613,,Y,Y,
1043298729,119,C,20230310,19600928,M,King,William,,1300,,Sycamore,LN,UNIT,161,Cedar Park,78613,,Y,,Y
1072425926,119,A,20190315,19861208,M,Lee,Juan,Rose,7900,,Braker,TRL,APT,184,Cedar Park,78613,,,Y,
1090988946,119,A,20171124,19640123,M,Sanchez,Kevin,Marie,2430,,Elm,WAY,APT,215,Leander,78641,,Y,Y,
1050486481,120,C,20130811,19860325,M,Cox,Luis,,6200,,Congress,CIR,APT,267,Leander,78641,,Y,Y,
1013074554,120,A,20111128,19590209,M,Howard,Miguel,L,4520,N,Sycamore,PL,UNIT,74,Leander,78641,,Y,,Y
1005015368,120,A,20250612,19990904,F,Martinez,Jessica,L,4400,W,Brodie,TRL,APT,178,Leander,78641,,Y,Y,Y
1018077033,120,,20240906,19941210,M,Price,Jose,J,1700,,Live Oak,CIR,,,Leander,78641,,,Y,
1030287424,121,,20121124,19440524,M,Adams,Christopher,,2900,,Menchaca,WAY,#,280,Round Rock,78664,,Y,,Y
1061753645,121,,20171225,19470907,F,Baker,Mary,M,9457,W,Lamar,CT,,,Pflugerville,78660,,,Y,
1015581338,121,C,20220818,19720102,F,Flores,Rebecca,Marie,8300,,Anderson,TRL,STE,140,Cedar Park,78613,,Y,Y,
1069768311,121,B,20110807,19940510,M,Peterson,Jacob,,2776,,Live Oak,TRL,,,Round Rock,78664,,Y,,Y
1090204642,121,,20080808,19420125,F,Rivera,Rebecca,Rose,361,,Menchaca,RD,UNIT,135,Austin,78705,,Y,Y,Y
1045102951,121,A,20080210,19440706,F,Robinson,Grace,,2107,W,Lamar,WAY,,,Cedar Park,78613,,,,Y
1024944519,121,,20140804,20001021,F,Taylor,Angela,Ann,1700,,Sycamore,DR,UNIT,125,Cedar Park,78613,,Y,Y,Y
1092820259,122,B,20171106,19790918,M,Brown,Andrew,Ann,7500,S,Pecan,RD,,,Pflugerville,78660,,Y,,Y
1095211320,122,B,20180204,19770702,F,Richardson,Jessica,J,4744,,Live Oak,ST,STE,106,Pflugerville,78660,,Y,Y,Y
1022397558,122,B,20120423,19430322,F,Robinson,Jennifer,L,8700,E,Congress,AVE,,,Cedar Park,78613,,Y,Y,Y
1046049837,122,C,20250526,19820223,F,White,Lisa,Ann,8457,N,Congress,RD,,,Cedar Park,78613,,,Y,
1017128762,123,A,20231223,19641214,F,Baker,Amy,,9800,N,Elm,RD,,,Austin,78741,S,,,
1052246068,123,,20120507,20050605,M,Watson,Paul,,8800,,Brodie,ST,,,Pflugerville,78660,,Y,Y,
1049516950,124,A,20191227,19890710,M,Clark,Eric,Marie,2500,,Far West,WAY,UNIT,187,Del Valle,78617,,,Y,
1032538070,124,B,20111110,19701226,M,Cox,Joshua,Lee,6100,S,Congress,CT,,,Round Rock,78664,,Y,Y,
1077557929,124,A,20200122,19610307,M,Flores,William,Marie,8293,,Sycamore,TRL,UNIT,252,Del Valle,78617,,,,Y
1045732708,124,A,20220101,19570906,F,Garcia,Ashley,Marie,8200,S,Anderson,PL,,,Del Valle,78617,,Y,Y,Y
1082652562,124,A,20090805,19470506,M,Green,Paul,M,300,E,Lamar,LN,,,Leander,78641,,Y,,Y
1041322979,124,B,20120417,19770506,F,Mitchell,Emily,Marie,4291,,Elm,BLVD,,,Cedar Park,78613,,,Y,Y
1089750833,124,A,20250307,19501114,F,Smith,Mary,Lee,7057,,Guadalupe,RD,,,Pflugerville,78660,,Y,Y,Y
1076055434,124,B,20190717,19990205,F,Williams,Ana,Ann,2432,S,Hillside,AVE,UNIT,228,Round Rock,78681,,,Y,Y
1066547203,125,B,20161012,19980821,M,Adams,Robert,R,8400,,Lamar,LN,STE,190,Del Valle,78617,,,Y,
1038032918,125,,20130820,19350213,F,Green,Laura,,3921,,Creekside,RD,,,Leander,78641,,Y,,
1076177039,125,A,20241105,19380407,F,Jackson,Jennifer,Rose,5949,E,Anderson,DR,APT,370,Cedar Park,78613,,Y,,Y
1027096300,125,C,20191102,19870924,F,Mitchell,Jennifer,M,8400,,Pecan,AVE,,,Leander,78641,,Y,Y,Y
1036200289,125,A,20231119,19610216,F,Wright,Jennifer,R,7194,,Brodie,AVE,,,Del Valle,78617,,,,
1065603722,126,C,20250614,19510413,F,Anderson,Susan,Rose,1800,N,Riverside,LN,#,167,Cedar Park,78613,,,,Y
1061576687,126,A,20240210,19880808,M,Clark,Joshua,,9100,,Maple,RD,,,Cedar Park,78613,,Y,,Y
1062486333,126,B,20100717,20030226,F,Coleman,Isabella,Marie,7300,N,Meadow,AVE,,,Cedar Park,78613,S,,,Y
1084575046,126,,20150715,19450113,F,Coleman,Susan,L,5200,,Sycamore,DR,#,129,Del Valle,78617,,,,
1079509005,126,B,20220106,19990316,F,Gomez,Olivia,,6536,S,Menchaca,ST,,,Del Valle,78617,,,Y,Y
1035083352,126,C,20251116,19761007,M,Harris,James,E,4355,,Brodie,RD,,,Round Rock,78681,,Y,,Y
1067935684,126,B,20201122,20050104,M,Price,Luis,R,300,S,Brodie,TRL,#,57,Leander,78641,,,Y,
1043216698,126,C,20100408,19680823,M,Ross,Anthony,E,850,E,Slaughter,PL,,,Leander,78641,,Y,,Y
1008418429,127,B,20090504,19540923,M,Garcia,Miguel,A,7239,W,Pecan,BLVD,APT,252,Round Rock,78681,,,Y,
1025834020,127,C,20140414,19730226,F,Hernandez,Stephanie,Lee,8242,W,Menchaca,RD,STE,248,Austin,78748,,Y,Y,
1023645382,127,B,20120212,19561228,M,Martin,Daniel,Marie,1000,W,Maple,RD,,,Cedar Park,78613,,Y,Y,Y
1031298072,127,A,20211023,19640913,F,Peterson,Jennifer,J,1996,,Lamar,TRL,,,Austin,78751,,Y,Y,
1023427025,127,C,20080101,19831124,F,Peterson,Jennifer,J,9500,,Lamar,WAY,,,Del Valle,78617,,,Y,Y
1066935612,127,,20091227,19730903,F,Price,Stephanie,A,6600,,Far West,CIR,,,Austin,78748,,Y,Y,
1084463637,128,B,20190611,19750728,F,Cooper,Sandra,E,2681,,Escarpment,LN,,,Cedar Park,78613,,Y,Y,
1004695428,128,,20110824,19501128,F,Cox,Ana,Rose,2721,S,Live Oak,CT,,,Del Valle,78617,,Y,,Y
1022382801,128,B,20231212,19840516,F,Davis,Ana,J,3600,,Cedar,CIR,UNIT,116,Del Valle,78617,,Y,,
1048765919,128,C,20221123,19500301,F,Davis,Stephanie,M,8036,S,Duval,CT,UNIT,308,Round Rock,78664,,Y,,
1024537068,128,B,20190113,19680612,F,Moore,Sarah,L,1000,,Magnolia,ST,,,Leander,78641,,Y,Y,Y
1019673711,128,,20080915,19790206,M,Ramos,Jose,,8701,,Balcones,TRL,,,Del Valle,78617,,,Y,Y
1068399325,128,B,20150303,19701227,M,Roberts,Joseph,Marie,8400,W,Oak,DR,UNIT,374,Leander,78641,,Y,Y,Y
1014319654,128,A,20250202,19450415,M,White,Carlos,J,3161,S,Parmer,TRL,,,Pflugerville,78660,,,Y,
1098097836,129,B,20140912,20020322,F,Carter,Maria,A,8633,N,Elm,CT,,,Pflugerville,78660,,Y,,Y
1039010685,129,A,20101021,20000818,M,Chen,Robert,Marie,7900,,Oak,DR,,,Pflugerville,78660,,,Y,
1033261542,129,A,20081016,19850701,F,Hall,Ashley,,8600,S,Maple,CIR,APT,299,Pflugerville,78660,,,Y,
1005147614,129,,20160805,19460921,F,Thompson,Emily,Marie,6400,S,Lamar,WAY,#,301,Cedar Park,78613,,,,Y
1036870597,130,B,20100803,19840912,M,Flores,Mark,J,6700,,Live Oak,WAY,,,Pflugerville,78660,,Y,,Y
1019324641,130,A,20220511,19391203,M,Harris,Juan,A,4800,,Burnet,CT,,,Del Valle,78617,,Y,,Y
1097321972,130,,20230615,19530326,F,Lee,Grace,,5200,,Elm,LN,,,Round Rock,78681,,Y,Y,
1021385726,130,A,20100917,19371007,M,Richardson,Michael,Ann,6879,E,Meadow,PL,,,Pflugerville,78660,,,,Y
1053247524,131,B,20100402,19520910,M,Chen,Christopher,L,8218,,Guadalupe,TRL,,,Pflugerville,78660,,Y,,Y
1010992291,131,A,20160808,19520228,F,Nguyen,Olivia,A,8000,,Braker,ST,,,Pflugerville,78660,,Y,,Y
1009506362,132,,20210520,19480622,F,Lewis,Sofia,J,7874,,Braker,PL,,,Austin,78701,,,Y,
1098671294,132,B,20171110,20071209,M,Mitchell,Richard,,7383,E,Oak,ST,UNIT,118,Leander,78641,,Y,Y,Y
1091877863,133,C,20160102,19921124,F,Adams,Grace,R,5108,,Far West,CT,,,Round Rock,78664,,Y,Y,
1020667772,133,C,20160814,19730203,F,Chen,Amy,E,1344,,Oak,WAY,,,Cedar Park,78613,,Y,,Y
1062896438,133,C,20170503,19370809,M,Hill,Thomas,,3100,S,Burnet,AVE,#,270,Pflugerville,78660,,,Y,Y
1001635951,134,C,20110711,19881024,F,Ramirez,Mary,Ann,8791,,Live Oak,BLVD,STE,354,Cedar Park,78613,,Y,,
1088929603,134,A,20090719,19430902,F,Wood,Melissa,A,2414,,Hillside,TRL,APT,168,Cedar Park,78613,,Y,Y,Y
1079125313,134,,20130822,19740816,F,Young,Laura,E,1000,,Menchaca,CT,,,Austin,78759,,Y,Y,
1002138931,135,A,20130513,19701203,F,Jones,Nancy,J,1500,S,Maple,WAY,,,Austin,78751,,Y,,
1092389505,135,A,20140627,20051111,F,Lee,Sandra,Lee,8800,N,Slaughter,PL,,,Pflugerville,78660,,,Y,
1065900472,135,,20190515,19630816,M,Lee,William,Ann,1900,N,Oak,BLVD,STE,376,Pflugerville,78660,,Y,Y,
1062787241,135,A,20080314,19500612,F,Reyes,Olivia,,9931,,Duval,PL,,,Cedar Park,78613,,Y,,
1076080516,136,A,20161124,19601011,F,Ward,Lisa,,6600,,Riverside,RD,,,Leander,78641,,,,
1036170825,137,C,20180925,19530703,F,Gomez,Elizabeth,,700,,Burnet,WAY,#,223,Round Rock,78665,,,,Y
1073953074,137,B,20110924,19470703,F,Miller,Ana,L,100,,Maple,BLVD,,,Pflugerville,78660,,Y,,
1031075176,137,,20201212,19800915,F,Williams,Jessica,J,4705,W,Far West,DR,UNIT,214,Round Rock,78665,,Y,,
1076544603,138,,20210902,19570812,M,Coleman,Michael,E,8800,,Lakeview,LN,#,249,Cedar Park,78613,,,Y,Y
1060626623,138,,20210225,20001219,F,Gonzalez,Emily,E,4700,,Menchaca,RD,STE,23,Austin,78703,,Y,,
1002849350,138,A,20110928,19460617,M,Hernandez,John,Ann,6648,,Slaughter,CIR,,,Leander,78641,,,Y,Y
1046312894,138,C,20090801,19710409,F,Williams,Olivia,Lee,1909,,Pecan,CT,,,Leander,78641,,,Y,
1084845094,139,A,20090508,19671113,M,Baker,Richard,Marie,200,W,Parmer,AVE,,,Round Rock,78665,,Y,Y,Y
1032144054,139,A,20251107,19871226,M,Hill,Christopher,R,3500,,Meadow,DR,STE,59,Round Rock,78665,,Y,,
1083943457,139,C,20150124,19870520,F,Kelly,Mary,Marie,7000,N,Live Oak,WAY,,,Round Rock,78664,,,,Y
1071565641,139,,20081007,19790409,F,Lopez,Sofia,L,6900,W,Sycamore,AVE,UNIT,162,Austin,78745,,,,
1060558917,139,C,20171209,19711010,M,Moore,Mark,Lee,7500,,Pecan,CIR,,,Leander,78641,,,,Y
1058911477,139,A,20220524,19880811,M,Nguyen,Robert,Ann,7500,N,Duval,RD,,,Round Rock,78681,S,,Y,
1034155890,139,A,20090710,20061205,F,Patel,Ashley,Marie,8800,,Far West,RD,,,Leander,78641,,,,Y
1058331008,139,A,20200910,19690102,F,Price,Karen,L,8700,S,Lakeview,DR,,,Del Valle,78617,,Y,,Y
1064971652,140,A,20251224,20010521,M,Allen,Andrew,Lee,5372,,Live Oak,LN,,,Pflugerville,78660,,,Y,Y
1045014487,140,B,20200624,19960708,M,Green,Brian,J,8600,N,Anderson,WAY,,,Leander,78641,,,,Y
1042832653,140,A,20090212,19860906,M,Lee,Miguel,J,4702,N,Sycamore,PL,#,315,Austin,78741,,,Y,Y
1060865861,140,B,20180405,19350515,F,Mitchell,Amanda,,7374,N,Menchaca,BLVD,,,Round Rock,78681,,Y,Y,Y
1006554492,140,B,20190402,19480502,F,Patel,Margaret,R,5677,,Congress,AVE,,,Pflugerville,78660,,Y,Y,
1045249727,140,A,20141104,19680901,F,Walker,Stephanie,Lee,7500,S,Lamar,TRL,,,Del Valle,78617,,,Y,
1016365919,141,,20140928,19520625,M,Flores,Steven,,7234,W,Far West,CIR,,,Leander,78641,,Y,Y,Y
1070877194,141,B,20201201,19481119,F,Scott,Ana,Lee,6654,W,Riverside,AVE,,,Leander,78641,,Y,Y,
1066272774,141,B,20170926,19380303,M,Wright,Joshua,R,550,,Oak,TRL,,,Cedar Park,78613,,,Y,Y
1024173187,142,,20171012,19740514,M,Davis,Miguel,J,2500,S,Maple,TRL,,,Austin,78705,,,,Y
1016947042,142,A,20231025,19780627,M,Johnson,Paul,,800,N,Meadow,WAY,,,Del Valle,78617,,Y,Y,Y
1055814356,142,,20241201,19540818,M,Martinez,Thomas,A,5804,E,Braker,WAY,,,Austin,78741,,,,Y
1070325402,142,B,20210621,19890202,M,Walker,Daniel,Rose,1300,W,Escarpment,CT,,,Pflugerville,78660,,,,
1088485386,143,B,20131106,19760316,F,Brooks,Sarah,,8312,,Escarpment,PL,,,Leander,78641,,Y,Y,Y
1073615497,143,B,20100710,20040421,F,Cooper,Isabella,J,3200,E,Creekside,PL,,,Cedar Park,78613,,,Y,Y
1033973231,143,,20220822,19940617,M,Gray,Jacob,,5538,,Live Oak,WAY,,,Round Rock,78681,,,Y,Y
1081642593,144,,20091024,19900714,M,Gonzalez,Michael,Lee,7619,S,Anderson,TRL,,,Round Rock,78664,,Y,,
1033278568,144,C,20190813,19850803,M,Jones,James,R,9386,N,Lakeview,WAY,,,Leander,78641,,Y,,Y
1078450598,144,,20131209,19781115,M,Kelly,Steven,M,5300,,Live Oak,DR,,,Cedar Park,78613,,Y,,
1047504897,144,A,20100217,19860721,F,Patel,Lisa,Marie,1723,,Congress,PL,,,Austin,78748,,Y,,Y
1066111181,144,C,20130513,19730214,F,Ramirez,Barbara,A,3500,,Magnolia,WAY,,,Round Rock,78664,,,Y,Y
1037778945,144,B,20251010,19370218,M,Torres,Joseph,Rose,1100,,Anderson,AVE,#,76,Austin,78748,,,Y,Y
1006765771,145,,20100125,19500112,M,Cooper,Andrew,,9031,E,Pecan,PL,,,Round Rock,78665,,,Y,Y
1052052349,145,B,20240111,19620805,F,Gomez,Nancy,R,9877,E,Hillside,DR,,,Cedar Park,78613,,Y,,Y
1081775947,145,A,20240528,19560723,M,Jones,Luis,L,7000,,Sycamore,CIR,,,Austin,78703,,Y,,
1009989221,145,,20120412,19641103,M,Richardson,Charles,E,5247,,Balcones,AVE,,,Round Rock,78664,,Y,Y,
1050956619,145,,20091124,19690824,M,Thompson,Robert,E,4130,,Maple,WAY,,,Del Valle,78617,,Y,,Y
1063779351,145,B,20190412,19790325,M,Watson,David,L,6980,E,Braker,CT,,,Del Valle,78617,,Y,,
1043915750,146,,20161123,19871118,M,Price,Juan,R,653,,Menchaca,AVE,,,Del Valle,78617,,Y,,
1093729439,146,,20210414,19480821,M,Ross,David,,400,S,Elm,RD,,,Leander,78641,,Y,,
1041781338,146,C,20130326,19890525,M,Sanders,Luis,R,9646,W,Creekside,WAY,,,Pflugerville,78660,,,,Y
1008751120,147,A,20120814,20030918,F,Chen,Stephanie,Ann,9642,E,Pecan,RD,,,Pflugerville,78660,,Y,Y,Y
1003570507,147,,20180402,19531224,M,Clark,Miguel,Rose,2600,,Live Oak,DR,,,Pflugerville,78660,,Y,,
1079650455,147,C,20101117,19861205,F,Gonzalez,Sofia,R,8729,,Brodie,DR,,,Leander,78641,,Y,,
1064531667,147,A,20230125,19480116,M,Kelly,William,L,5488,,Far West,TRL,,,Del Valle,78617,,,Y,Y
1031610034,147,A,20100921,20051116,F,King,Nancy,Lee,4390,N,Magnolia,WAY,UNIT,394,Pflugerville,78660,,,Y,Y
1026068205,147,,20110905,19921122,F,Taylor,Ashley,,4518,E,Lamar,TRL,,,Leander,78641,,,Y,
1058365353,148,C,20171108,19780803,F,Gomez,Mary,,5902,E,Duval,BLVD,STE,230,Leander,78641,S,Y,Y,
1087589368,148,A,20150707,19730928,F,Hall,Karen,,5957,S,Live Oak,LN,APT,351,Austin,78745,,,,
1021107639,148,B,20190719,20030611,F,Henderson,Sarah,J,3566,W,Oak,RD,,,Leander,78641,,Y,Y,Y
1033710298,148,A,20110426,19410603,M,Martinez,Carlos,Lee,8200,W,Lamar,CIR,,,Cedar Park,78613,,,,
1051921636,148,B,20240805,20070815,M,Moore,Jacob,Lee,1108,S,Escarpment,AVE,,,Austin,78759,,Y,Y,
1080970562,148,A,20200919,19851003,F,Sanchez,Amy,L,4798,,Slaughter,CIR,APT,390,Leander,78641,,Y,Y,
