VUIDNO,PCTCOD,PCTSPT,EDRDAT,GENDER,LSTNAM,FSTNAM,MIDNAM,BLKNUM,STRPRE,STRNAM,STRTYP,UNITYP,UNITNO,RSCITY,RZIPCD,SUSIND,G20VOTED,P22VOTED,G22VOTED,P24VOTED,P24PARTY,G24VOTED,P26VOTED,P26PARTY
1035439053,104,C,20150520,F,Williams,Rebecca,Ray,5839,W,Hillside,DR,,,Round Rock,78681,,Y,,Y,Y,,Y,Y,Dem
1070185934,105,D,20190804,M,Campbell,David,J,5444,,Gattis School,CT,APT,358,Pflugerville,78660,,,,Y,Y,Rep,Y,Y,Dem
1055033295,105,B,20220601,F,Thompson,Cynthia,Paul,657,,Slaughter,CIR,,,Buda,78610,,Y,,Y,Y,Dem,Y,Y,Dem
1009259253,105,,20101207,F,Torres,Kathleen,Kay,4500,,Cedar,CIR,STE,B6,Cedar Park,78613,,Y,,,Y,Dem,Y,Y,Rep
1029721259,106,A,20120706,F,Campbell,Grace,Marie,4000,,Lakeview,AVE,,,Del Valle,78617,,,Y,,,,,,
1023226981,106,A,20250404,M,Griffin,Christopher,M,9895,W,Menchaca,LN,UNIT,43,Del Valle,78617,,,Y,Y,Y,Dem,,Y,
1010619700,106,,20241213,F,Johnson,Angela,M,7805,S,Davis,TRL,APT,30A,Cedar Park,78613,,Y,,,Y,Lib,Y,,
1055963354,106,C,20080227,F,Young,Olivia,Rose,7900,,Sunset Valley,ST,,,Cedar Park,78613,,,Y,,Y,Dem,,Y,Rep
1035313134,107,C,20080609,M,Hayes,Sean,Jean,7400,,Live Oak,BLVD,,,Austin,78704,,Y,Y,Y,Y,Rep,Y,Y,Rep
1027172506,107,A,20130609,M,Jackson,Christopher,Jean,9674,,Escarpment,ST,,,Manor,78653,,,,,Y,Dem,Y,Y,Dem
1068822280,107,D,20140723,M,Murphy,Omar,Ray,7166,W,Lamar,ST,,,Round Rock,78681,,Y,Y,Y,Y,Lib,,,
1074057278,107,C,20211223,F,Nguyen,Rosa,Ray,6678,,Parmer,CIR,,,Cedar Park,78613,,Y,,Y,,,,Y,Lib
1052082271,108,D,20150721,F,Adams,Sandra,Grace,7900,,Meadow,CT,,,Buda,78610,,,,Y,Y,Dem,Y,,
1066047149,108,A,20221120,F,Gomez,Emily,Rose,9800,,Sunset Valley,CT,,,Leander,78641,,Y,,Y,Y,Rep,,Y,Dem
1069889327,108,C,20181015,M,Hughes,Jose,,6550,,Pecan,ST,,,Austin,78703,,Y,,Y,Y,Rep,,Y,Lib
1063737050,108,,20111016,M,Nelson,Samuel,Marie,2326,E,Koenig,BLVD,,,Leander,78641,,Y,Y,Y,,,,Y,Lib
1000347993,108,D,20130513,F,Nelson,Sandra,J,600,,University,ST,,,Round Rock,78665,,Y,,Y,Y,Rep,,Y,Rep
1058515157,109,D,20181010,F,Brooks,Nancy,A,3000,,Braker,BLVD,UNIT,8B,Del Valle,78617,,,Y,,,,Y,Y,Dem
1087537383,109,D,20250315,F,Clark,Melissa,Paul,6200,E,Airport,RD,,,Leander,78645,,,Y,Y,Y,Lib,,,
1067884221,109,B,20130914,F,Foster,Betty,Ann,334,,Palmer,BLVD,,,Del Valle,78617,,Y,,Y,,,Y,Y,Rep
1000153910,109,B,20210126,M,Jones,Daniel,,2600,,Convict Hill,PKWY,,,Pflugerville,78660,,Y,,Y,,,Y,,
1015961473,109,D,20190311,F,Rivera,Deborah,A,6961,S,Nueces,WAY,,,Manor,78653,,Y,Y,Y,Y,Dem,,Y,Dem
1080087142,109,C,20081115,F,Wood,Isabella,J,4500,,Magnolia,WAY,,,Cedar Park,78613,,Y,,,,,,,
1012025347,110,D,20150304,F,Johnson,Stephanie,Lee,3100,N,Escarpment,BLVD,STE,9B,Manor,78653,,,,Y,,,Y,,
1030186786,111,D,20230720,M,Bennett,Omar,M,5674,N,Barton Springs,AVE,UNIT,38B,Leander,78645,,Y,Y,Y,,,,,
1041010023,111,A,20131022,F,Chen,Mei,,5421,W,Pinewood,PL,,,Del Valle,78617,,Y,,Y,Y,Rep,,Y,Lib
1052169535,111,C,20080321,M,Diaz,Charles,Paul,9900,,Lamar,LN,,,Austin,78704,,Y,Y,,,,Y,,
1042567448,111,B,20201009,M,Gomez,Henry,Kay,860,E,Jollyville,TRL,,,Round Rock,78681,,,Y,Y,Y,Rep,,Y,
1038318203,111,,20091108,M,Gomez,Nathan,,3900,N,Congress,TRL,STE,389,Round Rock,78664,,,Y,Y,,,,,
1083578736,111,B,20190106,M,Mitchell,Charles,A,800,N,Ridgeline,CIR,,,Cedar Park,78613,S,,Y,,Y,Dem,,,
1050550988,111,,20140605,M,Reyes,William,Kay,2600,,Elm,BLVD,,,Leander,78641,,,Y,Y,Y,Dem,Y,,
1046400809,111,A,20150614,M,Rodriguez,Luis,Ann,6154,N,Koenig,CT,,,Austin,78722,,Y,,,,,,Y,Rep
1064393796,111,D,20170612,F,Russell,Grace,L,6800,,Anderson,ST,STE,9A,Pflugerville,78660,,,,,Y,Dem,Y,Y,Rep
1089410667,112,A,20210913,F,Foster,Sarah,M,2377,E,Pinewood,PKWY,#,B8,Round Rock,78665,,,Y,,Y,Dem,Y,,
1087506364,112,,20190125,F,Moore,Nancy,Kay,4401,,Menchaca,LN,,,Cedar Park,78613,,,,,,,,Y,
1006951421,112,A,20221125,F,Russell,Sandra,Kay,100,E,Ben White,PL,#,6B,Manor,78653,,Y,,Y,Y,,Y,Y,Dem
1019992204,112,D,20220520,M,Young,Omar,Kay,8486,E,Guadalupe,CIR,,,Leander,78645,,,Y,Y,,,Y,Y,
1009718379,113,,20100103,F,Bennett,Jessica,Ann,3700,,Escarpment,PL,STE,E4,Buda,78610,,Y,Y,,Y,Dem,Y,Y,Dem
1008539544,113,,20150222,F,Hill,Sandra,Rose,1000,W,Hillside,PKWY,UNIT,23A,Cedar Park,78613,,Y,Y,Y,Y,,Y,,
1039746168,113,D,20220928,F,Kim,Lisa,Jean,8900,N,Red River,PL,,,Del Valle,78617,,,Y,,,,,,
1006258782,113,A,20131214,M,Thompson,Raymond,Kay,7400,E,Far West,CIR,,,Buda,78610,,Y,Y,Y,Y,,,,
1001537824,113,B,20231210,M,Torres,Ethan,E,7000,,Jollyville,BLVD,,,Pflugerville,78660,,,,,Y,Rep,Y,Y,Rep
1072306438,114,,20250319,F,Cooper,Barbara,,2500,W,Lakeview,PKWY,,,Austin,78756,,Y,Y,,Y,Dem,Y,Y,Rep
1036045892,114,B,20131112,F,Lewis,Betty,Dean,1300,E,Sycamore,PKWY,STE,39B,Pflugerville,78660,,,Y,,Y,Dem,Y,,
1024483413,114,B,20170108,F,Long,Grace,Ray,3323,W,Bee Cave,PKWY,,,Cedar Park,78613,,Y,,,,,Y,Y,
1000488547,115,,20080505,M,Smith,Steven,Marie,8940,,Palmer,CT,,,Pflugerville,78660,,Y,Y,,,,Y,Y,Dem
1075309217,116,A,20240823,F,Peterson,Jessica,Kay,3600,,Lamar,PL,,,Manor,78653,,Y,,,,,,,
1092951167,117,C,20160819,M,Anderson,Nathan,Rose,7200,,Koenig,TRL,STE,55,Buda,78610,,Y,Y,,Y,Lib,Y,Y,Lib
1027602060,117,C,20240720,M,Brown,Joshua,Marie,1400,S,Rio Grande,DR,,,Round Rock,78664,,Y,,Y,Y,Dem,Y,Y,Rep
1008783338,117,C,20191119,M,Bryant,Kevin,Ray,6300,,Creekside,PKWY,,,Leander,78645,,,Y,,,,,,
1057216032,117,,20200601,M,Chen,Wei,Dean,4400,S,Airport,TRL,,,Buda,78610,,,,Y,Y,Rep,,Y,
1059906961,117,,20221219,M,Foster,Joseph,L,6825,,Burnet,AVE,,,Austin,78731,,Y,Y,,Y,Dem,,,
1062893225,118,B,20191115,M,Ross,Nathan,Marie,8800,,Ben White,ST,STE,B1,Del Valle,78617,,,,Y,Y,Dem,Y,Y,Dem
1075484932,118,,20221123,F,Thompson,Ashley,Ann,7200,,Congress,PL,,,Cedar Park,78613,,,Y,Y,Y,Rep,,,
1063676930,119,C,20110614,F,Chen,Cynthia,Jean,5263,,Ridgeline,BLVD,APT,C8,Buda,78610,,Y,Y,,Y,Rep,Y,,
1068608051,119,A,20140708,F,Clark,Lisa,J,5600,S,Hillside,BLVD,,,Austin,78741,,Y,Y,,Y,Dem,Y,Y,Rep
1069978300,119,,20170906,M,Garcia,Sean,Jean,6500,,William Cannon,CT,#,33B,Buda,78610,,,Y,Y,,,,,
1039333111,119,B,20250721,F,Reyes,Jessica,Lee,2167,W,Creekside,RD,,,Del Valle,78617,,Y,Y,,Y,Lib,Y,,
1003447062,119,D,20190824,M,Washington,Kevin,Jean,9328,S,Parmer,DR,,,Pflugerville,78660,,Y,Y,Y,,,,Y,Lib
1037760004,120,B,20120913,M,Anderson,Charles,E,9593,,Sunset Valley,PL,APT,277,Cedar Park,78613,,,,Y,,,Y,,
1088598327,120,B,20170101,M,Long,Donald,,8700,S,Airport,LN,,,Round Rock,78681,,,Y,,Y,Rep,Y,Y,Rep
1087434307,120,B,20130223,F,Ross,Michelle,Ann,8200,S,Parmer,AVE,,,Austin,78717,,,,Y,,,Y,,
1036807658,120,,20140417,F,Russell,Amy,A,291,W,Steck,BLVD,,,Manor,78653,,Y,Y,Y,,,,,
1054759719,121,D,20090327,F,Anderson,Sofia,R,974,N,Pecan,ST,,,Del Valle,78617,,,Y,Y,,,Y,,
1027853343,121,C,20080725,M,Roberts,Brian,Kay,9000,N,Sunset Valley,CT,#,4B,Pflugerville,78660,,,Y,Y,,,Y,Y,Rep
1016797591,121,,20241114,F,Tran,Emily,,5088,,Nueces,PKWY,#,35,Manor,78653,,,Y,Y,,,Y,,
1049353593,121,D,20101014,F,Williams,Angela,M,900,S,Elm,TRL,,,Leander,78641,,Y,Y,,Y,Dem,,Y,Dem
1010878702,122,,20190710,F,Adams,Fatima,M,3300,E,Rio Grande,DR,,,Manor,78653,,Y,Y,Y,Y,Rep,Y,Y,
1057035957,122,B,20110914,M,Hayes,James,Rose,430,S,Guadalupe,LN,APT,398,Buda,78610,,Y,Y,Y,,,Y,,
1070971376,122,B,20091123,F,Hill,Amanda,Ray,7525,,Sycamore,WAY,,,Austin,78756,,,Y,,,,,Y,Rep
1027229083,122,D,20210406,F,Perez,Ana,,4100,E,Lakeview,LN,STE,70,Pflugerville,78660,S,,,,,,,Y,Dem
1030593016,122,B,20140912,F,Ward,Lisa,Lee,7386,S,Gattis School,BLVD,STE,310,Del Valle,78617,,,,Y,Y,Dem,Y,Y,
1069093680,123,A,20120121,M,Cox,Aaron,,3000,,Riverside,BLVD,,,Manor,78653,,Y,,,Y,,,Y,
1059071956,123,B,20221008,M,Martinez,Eric,Lee,8400,,University,TRL,,,Cedar Park,78613,,,Y,Y,,,,,
1067711815,123,,20230507,F,Sanders,Cynthia,Paul,7900,W,Ridgeline,PL,,,Manor,78653,,,,Y,Y,Rep,Y,Y,
1071849644,124,C,20180613,M,Barnes,Samuel,Ann,7239,N,Manor,RD,STE,A3,Del Valle,78617,,Y,Y,,Y,,Y,Y,Dem
1030499670,124,D,20230211,M,Hayes,Raymond,Dean,8500,,Burnet,ST,STE,8B,Pflugerville,78660,,Y,,,,,Y,Y,Dem
1031258618,124,B,20151006,F,Rivera,Deborah,M,6300,,Pinewood,WAY,,,Manor,78653,,,Y,Y,,,Y,Y,Rep
1006466727,125,,20251204,M,Adams,Samuel,L,6400,E,Escarpment,LN,UNIT,20A,Buda,78610,,Y,,Y,Y,Rep,Y,Y,Rep
1025559891,125,C,20241101,M,Bennett,Donald,Ann,6946,W,Manor,ST,,,Cedar Park,78613,,,Y,Y,Y,Rep,,Y,Dem
1011413800,125,D,20080327,F,Cruz,Ashley,Lee,600,S,Slaughter,PL,,,Cedar Park,78613,,,,Y,Y,,,,
1056799961,125,A,20111116,M,Nelson,Paul,,2020,S,Guadalupe,PKWY,,,Leander,78645,,Y,Y,,Y,,Y,,
1058021198,125,A,20120703,F,Peterson,Isabella,M,1900,W,Airport,PKWY,,,Leander,78641,,Y,Y,Y,,,,Y,Rep
1011193225,125,D,20250802,F,Powell,Amanda,Grace,1500,,Live Oak,CIR,,,Round Rock,78681,,,,,,,,,
1068135895,125,B,20110413,M,Sanchez,Robert,Ray,800,,Elm,PL,#,22B,Leander,78645,,,Y,,Y,Rep,Y,,
1075501035,125,A,20200609,M,Wilson,Kevin,Grace,638,E,Duval,WAY,,,Round Rock,78664,,Y,Y,Y,,,Y,Y,Rep
1087376379,126,C,20210725,M,Hill,Eric,Jean,1100,,Spicewood Springs,PKWY,,,Del Valle,78617,,,Y,Y,Y,,,Y,Rep
1090297228,126,,20130310,F,Jenkins,Mary,Marie,381,,Palmer,DR,#,226,Del Valle,78617,,,Y,,Y,Rep,,,
1045585213,126,C,20120310,F,Long,Emily,Marie,5543,E,Anderson,AVE,,,Cedar Park,78613,,Y,,Y,Y,Rep,,Y,Rep
1036918053,126,A,20141120,F,Martinez,Elizabeth,Grace,9253,,Nueces,CT,,,Round Rock,78681,,Y,,,Y,,,Y,Dem
1074858500,126,A,20210801,M,Miller,Jacob,Lee,1100,,Elm,PKWY,,,Pflugerville,78660,,,Y,Y,,,Y,Y,Dem
1003435492,126,A,20150104,M,Walker,Nathan,,6057,W,Riverside,AVE,,,Buda,78610,,Y,,Y,Y,Dem,Y,,
1028798438,127,,20250621,M,Bryant,Omar,Ray,9772,,Speedway,CIR,STE,429,Round Rock,78681,,Y,,Y,Y,Dem,,,
1069408102,127,A,20220309,F,Harris,Margaret,Kay,3404,N,Pinewood,PL,,,Austin,78704,,,Y,Y,Y,Dem,,Y,Lib
1009235698,127,,20191014,F,Hughes,Sandra,L,7586,E,Anderson,ST,,,Del Valle,78617,,,,,Y,,Y,,
1053875564,127,B,20250819,F,Jackson,Cynthia,Kay,1900,S,Duval,AVE,,,Manor,78653,,Y,,Y,,,Y,Y,Rep
1074376711,128,A,20191013,F,Foster,Amanda,Ann,5262,N,Magnolia,RD,STE,E7,Cedar Park,78613,,Y,Y,,,,Y,Y,Lib
1083848703,128,C,20140326,F,Scott,Carmen,Paul,5229,,Far West,PL,,,Leander,78645,,,Y,,Y,Lib,,Y,Dem
1009112377,129,A,20110609,F,Abbott,Karen,Grace,2738,,Convict Hill,RD,,,Cedar Park,78613,,,Y,,Y,Rep,,,
1068334005,129,A,20110803,F,Campbell,Rosa,L,9900,W,Magnolia,TRL,,,Pflugerville,78660,,Y,Y,Y,Y,Rep,,,
1029599081,129,,20180122,F,Davis,Rosa,E,7300,S,Jollyville,DR,,,Austin,78705,,Y,Y,,,,,,
1004855336,129,A,20220414,F,Griffin,Jennifer,Paul,6375,E,Magnolia,ST,,,Austin,78723,,,,Y,Y,Rep,,Y,Lib
1071341119,129,B,20110223,F,Lewis,Nancy,Grace,8200,N,Wells Branch,AVE,,,Pflugerville,78660,,Y,Y,Y,,,Y,,
1091980720,129,D,20251115,M,Tran,Anthony,Ray,9113,,Cedar,CT,STE,29B,Pflugerville,78660,,Y,,,,,Y,Y,Lib
1090407744,130,C,20250212,F,Hill,Rosa,Jean,3000,S,Parmer,CIR,,,Manor,78653,S,,,Y,Y,Lib,,,
1025302380,130,D,20190620,M,Kim,Charles,A,8700,,William Cannon,LN,,,Leander,78645,,Y,,Y,Y,Dem,Y,,
1003367863,130,C,20181019,F,Lewis,Linda,Dean,7200,,Pinewood,ST,STE,168,Buda,78610,,Y,Y,Y,Y,,,,
1005552344,131,C,20170608,M,Abbott,Jose,Rose,3300,,Sunset Valley,PL,,,Round Rock,78665,,Y,Y,Y,,,Y,,
1088547081,131,,20181012,M,Brown,Jose,M,5530,,Congress,PKWY,,,Austin,78701,,Y,Y,,,,Y,Y,
1055005564,131,,20090724,F,Green,Mei,Kay,4900,,Hillside,AVE,,,Buda,78610,,Y,Y,Y,Y,Dem,Y,,
1094257310,131,B,20220716,M,Simmons,Donald,Marie,5566,W,Koenig,LN,,,Round Rock,78664,,Y,Y,Y,Y,Rep,,,
1010373130,132,,20160523,F,Green,Olivia,,1037,W,Wells Branch,BLVD,STE,395,Cedar Park,78613,,Y,Y,,Y,Rep,Y,Y,Rep
1079641393,132,,20090301,F,Henderson,Susan,,7800,,Magnolia,PL,,,Austin,78751,,Y,Y,,Y,Rep,,,
1072543988,132,B,20141208,M,Hughes,Charles,A,1524,,William Cannon,RD,,,Austin,78749,,,,,,,Y,Y,Dem
1041078961,132,,20220118,F,Young,Rosa,Rose,8600,N,Live Oak,LN,,,Austin,78717,,Y,Y,,Y,Dem,,Y,Rep
1027787800,133,D,20200812,M,Bennett,Henry,L,5758,,Creekside,WAY,#,239,Del Valle,78617,,,,Y,,,Y,,
1092819186,133,C,20160628,F,Hill,Sandra,Ann,3800,E,Sunset Valley,PKWY,,,Pflugerville,78660,S,Y,,,,,Y,Y,Dem
1086634921,134,B,20230923,F,Kim,Melissa,,1900,,Steck,WAY,,,Manor,78653,,,Y,Y,Y,Rep,,Y,
1026945782,134,C,20150520,F,King,Laura,Ann,2987,,Bee Cave,WAY,,,Austin,78748,,,,,,,,Y,Lib
1004140582,134,,20130114,M,White,Nathan,Grace,200,S,Slaughter,BLVD,UNIT,22B,Leander,78641,,Y,Y,Y,Y,Lib,,Y,Rep
1047217143,135,A,20240126,M,Abbott,Wei,,5100,,Burnet,PL,,,Leander,78645,,,,,Y,Dem,Y,,
1019816800,135,C,20251117,F,Moore,Fatima,L,2725,,Bee Cave,ST,,,Leander,78641,,,Y,,,,Y,Y,Dem
1017261465,135,D,20220626,F,Rivera,Laura,J,5800,S,Burnet,DR,,,Austin,78703,,,,,Y,Lib,Y,,
1006429398,135,,20230202,F,White,Sofia,Dean,4728,,Palmer,LN,,,Austin,78701,S,Y,,Y,Y,,Y,Y,
1090786998,136,D,20181224,F,Sanders,Nancy,Kay,2900,,Balcones,BLVD,,,Austin,78745,,,Y,,,,Y,,
1019584271,137,,20251224,F,Flores,Jennifer,L,6925,S,Palmer,RD,,,Manor,78653,,,,,Y,Dem,,,
1077209565,137,C,20200720,F,Foster,Betty,M,8700,W,Riverside,CIR,,,Cedar Park,78613,,Y,Y,Y,Y,Rep,Y,Y,Dem
1020942305,137,C,20220514,F,Jackson,Angela,M,9600,,Davis,PL,,,Pflugerville,78660,,,,Y,,,Y,Y,Rep
1069991685,137,C,20141117,M,Mitchell,Raymond,E,1500,,Howard,TRL,,,Manor,78653,,Y,,Y,,,Y,Y,
1045332756,137,D,20150728,M,Okafor,Charles,Dean,1568,W,Creekside,DR,#,30A,Manor,78653,,,Y,,,,,,
1014287975,137,A,20190812,F,Sanchez,Grace,M,6000,,Cesar Chavez,CIR,,,Austin,78721,,Y,,,Y,Lib,Y,Y,Rep
1079078456,137,D,20110927,F,Tran,Melissa,J,285,,Wells Branch,DR,,,Austin,78751,,Y,Y,,,,,,
1038450448,137,C,20160105,M,Williams,Robert,Jean,8847,W,Spicewood Springs,PKWY,#,C1,Round Rock,78681,,Y,Y,,Y,Lib,Y,Y,
1004650446,138,D,20221007,F,Abbott,Karen,,6749,S,Ben White,RD,,,Manor,78653,,Y,,,Y,Lib,Y,Y,Rep
1026615637,138,A,20150904,M,Brown,Anthony,,7545,W,Ben White,BLVD,,,Cedar Park,78613,,,Y,,Y,Rep,Y,,
1082097619,138,B,20150621,F,Cox,Michelle,A,2442,W,Burnet,TRL,,,Buda,78610,,,,Y,,,,,
1061279999,138,D,20090219,M,Foster,Wei,Rose,3200,W,Far West,PL,,,Manor,78653,,,Y,Y,Y,,Y,,
1078567792,138,A,20081004,M,Martinez,Matthew,R,700,,Parmer,PL,,,Leander,78641,,,Y,Y,,,,,
1004839553,138,D,20250115,M,Okafor,John,,1700,,Jollyville,CIR,,,Round Rock,78664,,Y,,,Y,Rep,,Y,
1003609725,138,,20160209,F,Taylor,Maria,Paul,4500,,Howard,CT,,,Round Rock,78664,,Y,,Y,,,Y,,
1092885745,139,D,20230326,M,Kelly,Jose,A,3104,S,Rio Grande,AVE,#,431,Leander,78641,,Y,Y,Y,Y,,Y,,
1092875674,139,C,20200927,F,Murphy,Stephanie,Rose,9048,,San Jacinto,AVE,,,Manor,78653,,Y,Y,,Y,Lib,,Y,Dem
1035678305,139,C,20081105,M,Ramos,Kevin,Ann,4111,E,Creekside,PKWY,,,Leander,78645,,,,Y,,,,,
1029872190,139,,20100908,M,Torres,Mark,,4500,W,San Jacinto,DR,,,Leander,78641,,Y,Y,Y,Y,Lib,,,
1017818574,139,B,20080821,M,Young,Omar,E,9400,E,Airport,PKWY,,,Leander,78641,,,,,Y,Rep,,Y,Lib
1012459403,140,D,20110606,M,Mitchell,William,Rose,8300,,Speedway,PKWY,,,Del Valle,78617,,Y,,Y,Y,Dem,Y,Y,Lib
1097570269,140,A,20091202,M,Price,Juan,J,3459,,Sycamore,LN,,,Del Valle,78617,,,,,,,Y,,
1017416631,140,D,20170914,F,Torres,Linda,M,1300,,Braker,CT,,,Pflugerville,78660,,,,Y,,,,,
1052868626,140,D,20110626,F,Wood,Jessica,J,5300,N,Pecan,LN,,,Buda,78610,,,,,,,,Y,Dem
1070710016,141,,20091108,M,Perez,Michael,L,4600,,Pinewood,CT,,,Leander,78645,,Y,Y,Y,,,,Y,Rep
1027256534,142,C,20240823,F,Lewis,Ashley,Ray,6500,,Congress,BLVD,,,Del Valle,78617,,,,,,,Y,,
1044745928,143,C,20170113,F,Adams,Nancy,,6200,,Burnet,LN,,,Buda,78610,,,Y,,Y,Rep,Y,Y,Lib
1041449753,143,,20150506,M,Carter,Ethan,M,5510,N,Slaughter,DR,,,Cedar Park,78613,,Y,Y,,Y,Rep,,Y,Dem
1058835062,143,D,20190507,M,Chen,Michael,,4274,N,Guadalupe,WAY,,,Manor,78653,,Y,Y,,Y,Rep,Y,Y,Dem
1093001766,143,C,20120205,F,Cruz,Elizabeth,,6083,E,Convict Hill,WAY,,,Round Rock,78664,,Y,,,,,Y,,
1006296353,143,D,20241118,M,Howard,Wei,J,7737,,San Jacinto,CIR,STE,A4,Pflugerville,78660,,Y,Y,,,,Y,Y,Dem
1093302441,143,B,20121027,F,Johnson,Sandra,R,1500,,Meadow,BLVD,,,Pflugerville,78660,,,,Y,Y,Rep,Y,,
1079819407,144,B,20171108,F,Flores,Patricia,,9200,E,Elm,CT,,,Cedar Park,78613,,Y,,,Y,Rep,Y,Y,
1071970492,144,C,20240412,M,Hughes,Ethan,M,2600,E,Nueces,LN,,,Leander,78645,,Y,,,Y,Rep,Y,,
1012666623,145,A,20230612,F,Bailey,Linda,Rose,7100,E,Steck,ST,,,Cedar Park,78613,,,,,Y,,Y,,
1047774116,145,B,20181216,F,Brooks,Jennifer,Ray,8040,W,Metric,LN,,,Del Valle,78617,,Y,Y,,Y,,,,
1094455784,145,D,20080106,F,Hill,Betty,Rose,2400,W,Escarpment,BLVD,,,Del Valle,78617,,Y,Y,Y,Y,Rep,,,
1099182221,145,,20251205,M,Hill,Matthew,Ann,4060,,Slaughter,AVE,,,Manor,78653,,,Y,,,,,,
1012718505,145,C,20140121,M,Wright,Charles,Ann,1299,S,Howard,PKWY,,,Del Valle,78617,,Y,Y,Y,Y,Lib,Y,,
1013157862,146,B,20120819,F,Baker,Mary,Lee,8594,,Wells Branch,DR,,,Leander,78641,,,Y,Y,Y,Rep,,Y,Dem
1063446520,146,C,20120613,F,King,Emily,Ann,6323,,Braker,AVE,UNIT,13B,Leander,78645,,Y,Y,Y,Y,Lib,Y,,
1030371946,146,C,20200524,M,Wilson,Samuel,Kay,8300,S,Anderson,WAY,,,Austin,78756,,,,,Y,Dem,,,
1033950090,147,C,20210413,F,Griffin,Olivia,E,8000,S,Guadalupe,RD,,,Round Rock,78665,,Y,Y,,Y,Rep,,Y,
1038962620,147,C,20240217,M,Sanders,Paul,Lee,3902,S,Burnet,DR,,,Pflugerville,78660,,Y,Y,Y,Y,,Y,,
1057308960,147,C,20230110,F,Smith,Grace,Ray,1500,,Congress,ST,,,Round Rock,78665,,,,Y,,,Y,Y,Lib
1000846722,148,D,20240721,M,Barnes,Paul,Rose,6763,,Maple,BLVD,,,Del Valle,78617,,,,Y,,,Y,Y,Rep
1097645458,148,D,20211120,M,Gray,Mark,Ann,800,,Creekside,BLVD,#,23A,Del Valle,78617,,Y,Y,,,,Y,,
1096084052,148,B,20190712,F,Perez,Michelle,Ann,4902,E,Lakeview,ST,,,Buda,78610,,,Y,Y,,,Y,,
1049149412,149,D,20081117,F,Alexander,Susan,E,8396,,Duval,WAY,,,Del Valle,78617,,Y,Y,,Y,,Y,,
